tag,patterns,responses
rectal bleeding,"['How do you treat Rectal Bleeding?', 'what to do if i get a Rectal Bleeding?', 'Which medicine to take if I get Rectal Bleeding?', 'How to cure Rectal Bleeding?']","['If minor (e.g., from hemorrhoids), increase fiber and fluids, and use over-the-counter creams. Avoid straining during bowel movements. If bleeding is heavy, persistent, or accompanied by pain, dizziness, or weakness, seek immediate medical attention.']"
sun burn,"['How do you treat Sun Burn?', 'what to do if i get a Sun Burn?', 'Which medicine to take if I get Sun Burn?', 'How to cure a Sun Burn?']","['Cool the skin with a damp cloth or take a cool shower. Apply aloe vera or moisturizers. Drink extra fluids to prevent dehydration. Avoid further sun exposure. For pain, use ibuprofen or acetaminophen. Seek medical help for severe blistering or fever.']"
testicle pain,"['How do you treat Testicle Pain?', 'what to do if i get a Testicle Pain?', 'Which medicine to take if I get a Testicle Pain?', 'How to cure Testicle Pain?']","['Lie down and support the scrotum with a towel. Apply an ice pack for 10–15 minutes every hour. Take pain relievers like ibuprofen. Seek medical help immediately if pain is sudden, severe, or accompanied by swelling, nausea, or fever.']"
vertigo,"['How do you treat a Vertigo?', 'what to do if i get a Vertigo?', 'Which medicine to take if I get Vertigo?', 'How to cure a Vertigo?']","['Sit or lie down immediately to avoid falls. Focus on a fixed point to reduce spinning sensation. Stay hydrated. Avoid sudden head movements. For recurring cases, consult a doctor — medications like meclizine or vestibular therapy may help.']"
normal bleeding,"['How do you treat bleeding?', 'what to do if i get a Bleeding?', 'Which medicine to take if I get bleeding?', 'How to cure Bleeding?']",['Apply direct pressure to the wound with a clean cloth or bandage. Elevate the bleeding area if possible. Maintain pressure for 5–10 minutes. Clean with water after bleeding stops. Cover with a sterile dressing. Seek care if bleeding is heavy or won't stop.']
eye injury,"['How do you treat an eye Injury?', 'what to do if i get a eye Injury?', 'Which medicine to take if I injured my eye?', 'How to cure injured eye?']","['Do not touch, rub, or apply pressure to the eye. If there is a foreign object, flush the eye gently with clean water or saline. If chemicals are involved, rinse continuously for at least 15 minutes. Cover the eye with a clean cloth or eye shield and seek immediate medical help.']"
chemical burn,"['How do you treat a chemical burn?', 'what to do if i get a Chemical Burn?', 'Which medicine to take if I get burn due to chemicals?', 'How to cure Chemical Burn?']","['Immediately rinse the affected area with cool running water for at least 20 minutes. Remove contaminated clothing. Do not apply any creams unless prescribed. Cover the burn with a sterile, non-stick bandage and seek emergency medical care.']"
poison,"['How do you treat a Poison?', 'what to do if i get Poison?', 'Which medicine to take if I am poisoned?', 'How to cure Poisoning?']","['Call emergency services or a poison control center immediately. Do not induce vomiting unless advised by a medical professional. If poison is on the skin, wash thoroughly with water. If inhaled, move the person to fresh air. Bring the substance container if going to the hospital.']"
teeth,"['How do you treat broken Teeth ?', 'what to do if my Teeth got broken?', 'Which medicine to take if I get broken teeth?', 'cure broken teeth?']","['Rinse the mouth with warm water. If bleeding, apply pressure with a piece of gauze. Use a cold compress on the face to reduce swelling. Save any broken tooth fragments. See a dentist as soon as possible.']"
seizure,"['How do you treat a seizure?', 'what to do if i get a seizure?', 'Which medicine to take if I get seizure?', 'How to cure seizure?']",['Do not restrain the person. Move harmful objects away. Place something soft under their head. Turn them on their side to keep the airway clear. Time the seizure. Call emergency help if it lasts more than 5 minutes or the person is not breathing after it ends.']
head injury,"['How do you treat a head Injury?', 'what to do if i get a Head Injury?', 'Which medicine to take if I get injured in the head?', 'How to cure Head Injury?']","['Keep the person still. Apply a cold pack to reduce swelling. Monitor for signs of concussion such as confusion, nausea, or unconsciousness. Avoid giving food, drink, or medications. Seek medical attention immediately if symptoms worsen.']"
fainting,"['How do you treat Faint?', 'what to do if i feel like Fainting?', 'Which medicine to take if I get a Faint?', 'How to cure Fainting?']","['Lay the person flat on their back and elevate their legs. Loosen any tight clothing. Check for breathing. If unresponsive, call emergency services. If conscious, give water and let them rest. Do not allow them to stand quickly.']"
cpr,"['How to give CPR??', 'what to do in a CPR?', 'What steps to take in a CPR??', 'How to help a drowning person in CPR?']","['1)For an adult or child, place the heel of one hand on the center of the chest at the nipple line. You can also push with one hand on top of the other. For an infant, place two fingers on the breastbone. 2)For an adult or child, press down at least 2 inches. Make sure not to press on ribs. For an infant, press down about 1 and 1/2 inches. Make sure not to press on the end of the breastbone. 3)Do chest compressions only, at the rate of 100-120 per minute or more. Let the chest rise completely between pushes. 4)Check to see if the person has started breathing.']"
fracture,"['How do you treat a Fracture?', 'what to do if i get a Fracture?', 'Which medicine to take if I have a Fracture?', 'How to cure a Fracture?']","[""1)Stop any bleeding. Apply pressure to the wound with a sterile bandage, a clean cloth or a clean piece of clothing. 2)Immobilize the injured area. Don't try to realign the bone or push a bone that's sticking out back in. If you've been trained in how to splint and professional help isn't readily available, apply a splint to the area above and below the fracture sites. Padding the splints can help reduce discomfort. 3)Apply ice packs to limit swelling and help relieve pain. Don't apply ice directly to the skin. Wrap the ice in a towel, piece of cloth or some other material. 4)Treat for shock. If the person feels faint or is breathing in short, rapid breaths, lay the person down with the head slightly lower than the trunk and, if possible, elevate the legs.""]"
burns,"['How do you treat a burn?', 'What to do for minor burns?', 'How to heal burns fast?', 'Which cream is used for burns?', 'I got burned']","['Cool the burn under running cool (not cold) water for at least 10-15 minutes. Do not apply ice. Cover the burn with a sterile, non-stick bandage or clean cloth. Avoid using butter or oils. Take ibuprofen or acetaminophen for pain. Seek medical help if the burn is severe, blistering, or on the face or genitals.']"
dehydration,"['How do you treat dehydration?', 'What to do if I am dehydrated?', 'Which drink is best for dehydration?', 'How to rehydrate fast?', 'Symptoms of dehydration']","['Rehydrate by sipping water or an oral rehydration solution (ORS). Avoid sugary or caffeinated drinks. Rest in a cool, shaded area. Seek medical help if you experience dizziness, confusion, or fainting.']"
allergic reaction,"['How do you treat an allergic reaction?', 'What to do if someone has an allergy?', 'How to handle food allergies?', 'What is the first aid for an allergic reaction?']","['For mild reactions, take an antihistamine like diphenhydramine (Benadryl). For severe reactions (anaphylaxis), use an epinephrine auto-injector (EpiPen) immediately and call emergency services. Lay the person flat and raise their legs. Do not give anything by mouth if they are struggling to breathe.']"
hypothermia,"['How do you treat hypothermia?', 'What to do if someone is too cold?', 'How to help a person with hypothermia?', 'Signs of hypothermia']","['Move the person to a warm, dry place. Remove any wet clothing and wrap them in blankets, including the head. Offer warm (not hot) beverages if they are conscious. Avoid direct heat or rubbing their skin. Call emergency services for severe cases.']"
nose fracture,"['How to treat a broken nose?', 'What to do if my nose is broken?', 'First aid for nose fracture?', 'Broken nose symptoms']","['Apply ice packs wrapped in a cloth to reduce swelling. Keep the head elevated. Do not try to straighten the nose. Seek medical attention if there is heavy bleeding, difficulty breathing, or obvious deformity.']"
bleeding wound,"['How to stop bleeding?', 'What to do if there is a deep cut?', 'How to apply pressure to a wound?', 'First aid for bleeding injury']","['Apply firm pressure with a clean cloth or bandage. Raise the injured area above the heart if possible. If the cloth becomes soaked, add another layer—don’t remove the first. Seek emergency help if bleeding doesn’t stop after 10 minutes or if it’s a deep wound.']"
choking adult,"['What to do if someone is choking?', 'How to help a choking adult?', 'Choking emergency steps', 'Heimlich maneuver instructions']","['Ask the person if they are choking. If they cannot speak or breathe, perform the Heimlich maneuver: Stand behind them, place your hands just above the navel, and give quick, upward thrusts. Repeat until the object is expelled or the person becomes unconscious. If unconscious, start CPR and call emergency services.']"
